Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date,Host_Country,Innings_Team1,Innings_Team2
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,Sri Lanka,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,India,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,India,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,India,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,India,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,India,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,India,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,India,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,India,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,Australia,Second,First
,,,,,,,India,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,Second,First
,,,,,,,India,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,India,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,First,Second
,,,,,,,India,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,India,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,First,Second
,,,,,,,India,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,Australia,Second,First
,,,,,,,India,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Australia,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Australia,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,India,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,India,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,India,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,India,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,India,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,,Second,First
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,India,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,India,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,India,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,England,Second,First
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,India,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,India,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,India,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,India,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,India,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,India,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,India,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,India,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,India,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,India,Second,First
,,,,,,,Sri Lanka,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,India,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,India,First,Second
,,,,,,,,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,,First,Second
,,,,,,,,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,England,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,England,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,England,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Canada,First,Second
,,,,,,,Canada,Second,First
,,,,,,,Canada,Second,First
,,,,,,,Canada,First,Second
,,,,,,,Canada,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,India,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,,Second,First
,,,,,,,India,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,India,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,England,First,Second
,,,,,,,,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,India,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
